OID,Shape_Length
729,5905.495219
730,5895.659931
731,5885.824573
732,5875.989278
733,5866.153948
734,5856.318618
735,5846.483319
736,5833.123401
737,5822.100818
738,5812.281117
739,5802.461482
740,5792.641812
741,5782.822166
742,5773.00249
743,5763.18283
744,5753.363183
745,5743.543502
746,5733.723849
747,5723.904173
748,5714.084506
749,5704.264826
750,5694.445152
751,5684.625462
752,5674.805801
753,5664.986145
754,5655.166409
755,5645.34673
756,5635.527029
757,5625.707368
758,5615.887654
759,5606.067944
760,5596.248247
761,5586.428542
762,5576.60885
763,5566.789162
764,5556.875335
765,5546.75643
766,5536.637534
767,5526.518629
768,5516.399768
769,5506.280806
770,5496.161902
771,5486.759069
772,5477.579494
773,5468.399932
774,5459.220339
775,5450.040754
776,5440.861171
777,5431.681589
778,5422.502009
779,5413.322425
780,5404.142836
781,5394.963248
782,5385.783658
783,5376.604063
784,5367.424509
785,5358.244887
786,5349.065292
787,5339.885699
788,5330.7061
789,5321.526523
790,5311.78943
791,5301.937949
792,5292.76262
793,5283.587301
794,5274.411958
795,5265.236638
796,5256.061296
797,5246.885973
798,5237.710658
799,5228.535321
800,5219.360002
801,5210.184657
802,5201.009337
803,5191.83402
804,5182.658685
805,5173.48335
806,5164.308028
807,5155.132695
808,5145.957375
809,5136.782054
810,5127.606705
811,5118.431404
812,5109.256067
813,5100.080758
814,5090.905413
815,5081.364863
816,5071.508309
817,5061.651762
818,5051.795213
819,5041.938643
820,5032.082119
821,5022.225547
822,5012.369011
823,5002.512476
824,4992.655923
825,4982.79937
826,4972.942834
827,4963.086293
828,4953.41753
829,4944.322543
830,4934.461735
831,4924.600984
832,4914.740242
833,4904.879493
834,4895.018737
835,4885.157976
836,4875.29723
837,4865.436491
838,4855.575762
839,4845.714997
840,4841.293965
841,4838.166264
842,4835.038501
843,4831.910757
844,4828.782992
845,4825.655183
846,4822.527477
847,4819.399718
848,4812.556423
849,4808.689951
850,4805.567626
851,4802.445298
852,4799.323
853,4796.200652
854,4793.078325
855,4788.023189
856,4782.705387
857,4777.387586
858,4772.069819
859,4766.751972
860,4761.434169
861,4756.116367
862,4750.798543
863,4745.480794
864,4740.16295
865,4734.845127
866,4729.527311
867,4724.445638
868,4719.607129
869,4711.441071
870,4707.35434
871,4703.267647
872,4699.180945
873,4695.094174
874,4691.007489
875,4686.92077
876,4682.834025
877,4678.747341
878,4674.660602
879,4670.573897
880,4666.487181
881,4662.400438
882,4658.313755
883,4654.227046
884,4650.140289
885,4646.053595
886,4641.966854
887,4637.880155
888,4633.793426
889,4629.706682
890,4625.126751
891,4619.970626
892,4615.886414
893,4611.802202
894,4608.786487
895,4606.292414
896,4603.798334
897,4601.304279
898,4598.810194
899,4596.316108
900,4593.822042
901,4591.327958
902,4588.833884
903,4586.339797
904,4583.84572
905,4581.35167
906,4578.857581
907,4576.363504
908,4573.869436
909,4571.375351
910,4568.881279
911,4566.320773
912,4563.583683
913,4561.089748
914,4558.59581
915,4556.101857
916,4553.607929
917,4544.488009
918,4534.632897
919,4524.777843
920,4514.922664
921,4505.067542
922,4495.212449
923,4485.357267
924,4475.502141
925,4465.647013
926,4455.791922
927,4445.936759
928,4436.081601
929,4426.226454
930,4416.203207
931,4406.091514
932,4395.979876
933,4385.868291
934,4375.756601
935,4363.184994
936,4352.407692
937,4342.310442
938,4332.213167
939,4322.115965
940,4312.018721
941,4301.921479
942,4291.824196
943,4281.726989
944,4271.629725
945,4261.532485
946,4251.435196
947,4241.337995
948,4231.240723
949,4221.14348
950,4211.228431
951,4202.460089
952,4197.839907
953,4196.869307
954,4195.898708
955,4194.928089
956,4193.957471
957,4192.986881
958,4192.016282
959,4191.045666
960,4190.075063
961,4189.104445
962,4188.13386
963,4187.163239
964,4186.192633
965,4185.222025
966,4184.251441
967,4183.28081
968,4182.310217
969,4181.339606
970,4180.369024
971,4179.398397
972,4178.427802
