OBJECTID,Shape_Length
477,76.89005788
478,36.82708248
479,38.71847225
480,28.35502428
481,40.04880363
482,33.60484293
483,27.96037374
484,25.37923383
485,30.22821669
486,30.54278188
487,33.75780514
488,34.58328906
489,31.30595656
490,29.3731334
491,31.99840353
492,33.01315577
493,32.45373807
494,32.53494671
495,31.65354852
496,27.87474111
497,24.80570822
498,27.21442835
499,27.92440809
500,28.31015303
501,27.82010268
502,28.63791535
503,28.95505751
504,26.33947385
505,21.11322194
