OID,Shape_Length
156,4528.706391
157,4574.49641
158,4777.610636
159,5056.886211
160,5882.726426
161,5999.91289
162,5681.951921
163,5712.683608
164,5717.491768
165,5746.002574
166,5736.026857
167,6224.764786
168,6242.0256
169,5921.607496
170,5899.529442
171,5480.410497
172,5261.948409
173,4845.195842
174,4484.85381
175,4323.460766
176,4047.725735
177,4027.567159
178,4146.289826
179,4177.111163
180,4291.181077
181,4237.005488
182,4191.165967
183,3957.494094
184,3883.886762
185,3958.927837
186,4009.388729
187,4010.9595
188,4055.853126
189,3497.980494
190,3353.41107
191,3197.247673
192,3027.733396
193,3179.293228
194,3267.100988
195,3358.464847
196,3281.835619
197,3433.531578
198,3562.246202
199,3856.127162
200,4018.205069
201,4062.575063
202,4130.538393
203,4203.08078
204,4475.089381
205,4628.730072
206,4822.29698
207,5006.726306
208,5165.139706
209,5191.084475
210,5066.766115
211,4964.313503
212,4869.471756
213,4809.670361
214,4749.422338
215,4690.889886
216,4617.790089
217,4536.774525
218,4659.703677
219,4684.182303
220,4742.582242
221,4936.93052
222,5044.086832
223,4983.352609
224,4592.766893
225,4226.504612
226,4144.666318
227,4009.526578
228,3929.541179
229,3919.299185
230,3866.524872
231,4022.202271
232,4012.965039
233,3902.453551
234,3825.218117
235,3691.570179
236,3195.762927
237,3032.730552
238,2966.759729
239,2896.317522
240,2708.488827
241,2728.432597
242,2803.358494
243,2943.895913
244,3185.015534
245,3324.709764
246,3395.993469
247,3286.354214
248,3079.958758
249,3064.437779
250,3133.405032
251,3275.619939
252,3344.780411
253,3333.985457
254,3020.978933
255,2758.39472
256,2869.670909
257,2927.160185
258,2944.064872
259,2971.165838
260,2916.30483
261,2828.386484
262,2771.175935
263,2713.269949
264,2650.739201
265,2614.667729
266,2539.313169
267,2413.109161
268,2350.634553
269,2266.496916
270,2166.329321
271,2202.30397
272,1933.682128
273,1901.813191
274,1838.761945
275,1883.370961
276,1827.574999
277,1806.145061
278,1737.819389
279,1646.845657
280,1581.748127
281,1450.955582
282,1389.696612
283,1483.874011
284,1591.373205
285,1717.617662
286,1839.773682
287,1933.601942
288,1818.005148
289,1628.75799
290,1522.153262
291,1456.172908
292,1336.083405
293,1249.091985
294,1202.056412
295,1316.265675
296,1317.074197
297,1320.195435
298,1359.95457
299,1365.716512
300,1365.061242
301,1351.906523
302,1252.817922
303,1195.928309
304,1136.832824
305,1075.566885
306,1088.980947
307,1058.900345
308,1193.142427
309,1256.163863
310,1327.841027
311,977.1350042
312,924.0939318
313,969.8958497
314,873.4212746
315,894.1726712
316,942.2505392
317,959.9395215
318,922.0309468
319,923.4839576
320,901.5623669
321,871.9396082
322,858.9702908
323,902.5639696
324,802.7632929
325,762.5837313
326,743.7247435
327,825.9577736
328,819.3953166
329,798.5141062
330,749.5967137
331,733.0225646
332,734.8790416
333,723.0235378
334,715.9060916
335,724.4046906
336,732.7766571
337,783.6849012
338,826.7199087
339,844.3345117
340,871.4955294
341,796.0749121
342,706.3313894
343,626.5108629
344,652.4232933
345,715.2137336
346,747.9287619
347,762.7093311
348,768.4492847
349,736.6511295
350,705.9119215
351,678.3607182
352,656.0064921
353,659.0582257
354,664.6412446
355,656.5092064
356,650.6771491
357,650.8156825
358,660.3196891
359,669.9260261
360,667.0770773
361,671.9943792
362,661.7728941
363,650.5960511
364,608.3281755
365,576.5164717
366,565.7002708
367,509.0496564
368,527.735433
369,522.4982139
370,498.9697691
371,456.8944796
372,454.2691584
373,447.7390194
374,445.5028791
375,443.9571549
